,Number of trades,Close,Volume,0,1,2,3
58,1050.0,31136.92,57.63226,,30957.18691126311,31077.39667069814,60.33247967571511
59,2850.0,31185.82,217.4429,,30966.152914742986,31087.722702060222,64.65497160212564
60,1538.0,31154.46,105.493,,30973.537506321692,31094.078635197344,60.129744547812955
61,1208.0,31152.16,83.06973,,30980.54230999535,31099.610193749977,59.79916950147096
62,1601.0,31207.2,119.09645,,30989.43084685828,31109.856841964265,64.78807974859343
63,1584.0,31185.74,116.53088,,30997.1292450207,31117.08380939624,61.579289598216214
64,3254.0,31277.82,272.85285,,31008.136725608125,31132.39201802517,68.73462674711243
65,1652.0,31225.16,105.02272,,31016.647442250942,31141.227063927534,61.66197360795659
66,1416.0,31219.46,86.44837,,31024.600875888158,31148.67781974396,60.93112959287602
67,1737.0,31292.59,224.70697,,31035.11025330431,31162.383741673108,66.42880914320712
68,1482.0,31307.44,102.47304,,31045.789851213944,31176.198623418524,67.43104056413226
69,1991.0,31359.08,115.95695,,31058.075739401633,31193.615897378666,70.70612536169824
70,2094.0,31377.6,142.7591,,31070.606102562353,31211.138192866412,71.80130924174496
71,1856.0,31408.67,127.95296,,31083.863510305007,31229.950745926755,73.58548571230568
72,4402.0,31462.12,523.88565,,31098.697098136185,31252.06210345754,76.35691696423925
73,1569.0,31485.01,107.85751,,31113.846623699472,31274.247617413967,77.44817136951724
74,3033.0,31527.6,485.9565,,31130.072246299493,31298.376415755494,79.3572989681935
75,2623.0,31502.1,322.4984,,31144.66156997402,31317.778661874017,75.24981521092609
76,1780.0,31483.96,129.31884,,31157.967390759353,31333.605455981255,72.3797749363434
77,1407.0,31458.45,88.42307,,31169.75102249428,31345.49541255447,68.42729404665398
78,1861.0,31435.02,112.86451,,31180.153727494508,31354.021563739756,64.92072476949333
79,1438.0,31391.74,83.57765,,31188.451228377075,31357.61379576454,58.91483483937016
80,1378.0,31409.18,68.11813,,31197.107258636795,31362.524862834583,60.50056330746908
81,1199.0,31449.99,66.68947,,31207.024228886334,31370.854875897956,64.00185802737025
82,1340.0,31414.39,69.63194,,31215.156219910397,31375.00107819339,59.08191141211366
83,1688.0,31365.77,107.58069,,31221.06264265901,31374.121927889257,53.08051175033107
84,1267.0,31362.78,90.05532,,31226.620186084147,31373.041744280756,52.725810926249636
85,1503.0,31339.51,112.37468,,31231.04723761026,31369.848244825447,49.92944675879233
86,1225.0,31372.13,66.65538,,31236.579894958875,31370.065554842073,53.64116681721407
87,1140.0,31333.59,64.81399,,31240.384212803627,31366.591692476162,49.01779295059131
88,1222.0,31317.74,66.91156,,31243.41777308584,31361.939150335576,47.215411071436385
89,988.0,31304.2,57.35356,,31245.80138982757,31356.44018363695,45.67050199120329
90,1200.0,31293.1,103.08912,,31247.656237285315,31350.407785195337,44.38824199480387
91,1615.0,31300.01,144.60182,,31249.709326019223,31345.607996129114,45.41566220901252
92,1192.0,31327.91,82.35962,,31252.776019116507,31343.922472688246,49.474510776790346
93,1420.0,31341.83,89.46056,,31256.26833209233,31343.72318957508,51.41562519927785
94,1515.0,31355.08,89.36936,,31260.14329946126,31344.80479056793,53.25649555659376
95,1686.0,31321.44,107.73572,,31262.547091639248,31342.579572418603,48.25715113258619
96,1082.0,31373.49,61.06709,,31266.897793927907,31345.52342266445,55.25597343594891
97,1187.0,31358.38,89.78321,,31270.48533142093,31346.747858601168,53.014182478186
98,1559.0,31447.99,97.11995,,31277.446298816187,31356.38996730582,62.683458568037075
99,1639.0,31436.81,82.24738,,31283.695855725357,31364.049018038597,60.99688670045553
100,2079.0,31474.07,117.30118,,31291.16150844201,31374.527206796825,64.43168272039154
101,2776.0,31557.21,181.49317,,31301.594782620752,31391.92556805427,70.64396198725518
102,1781.0,31545.71,122.50438,,31311.16792840033,31406.571704430055,68.85261147616464
103,1358.0,31553.54,90.16857,,31320.672715521887,31420.568684960526,69.42116976676313
104,3648.0,31648.36,232.37001,,31333.523197266128,31442.263095916667,75.30089952493742
105,1913.0,31652.81,133.54007,,31346.04424835373,31462.315182019844,75.53861761802503
106,1735.0,31664.64,101.39738,,31358.53819939868,31481.584212303667,76.19456152633994
107,1675.0,31650.33,100.24677,,31369.981015108537,31497.65523970332,73.62276043624345
108,1413.0,31642.01,92.71353,,31380.648818437614,31511.40331211253,72.09901949612664
109,1474.0,31608.59,97.51225,,31389.587688302807,31520.65918714943,66.17444518869658
110,1584.0,31644.12,112.50262,,31399.56934758505,31532.417359801868,69.08313057720143
111,3195.0,31735.51,172.41225,,31412.743490817007,31551.759516011214,75.03077544376836
112,2614.0,31774.9,159.71183,,31426.9457068634,31573.010990676812,77.07760420625391
113,4640.0,31934.47,327.06558,,31446.84862031974,31607.435658231403,83.11579693012716
114,3097.0,31965.36,195.62959,,31467.182399915044,31641.523690780792,83.9947405703658
115,2808.0,31962.77,186.95454,,31486.617207761512,31672.118577373098,83.60176779755612
116,2268.0,31896.15,182.87907,,31502.67731726106,31693.454903337566,74.0101629942422
117,1883.0,31920.09,98.50773,,31519.046442074352,31715.039198257797,75.11504737692822
118,2752.0,31843.5,176.72374,,31531.77011101261,31727.273560328482,65.51859983350484
119,2686.0,31763.33,143.57493,,31540.8508909729,31730.707506963863,57.27074716287224
120,1895.0,31764.57,117.99501,,31549.624189366117,31733.932506300636,57.36015721880228
121,1866.0,31713.2,127.06812,,31556.038927038033,31731.957981891053,52.462559536409174
122,1707.0,31765.6,123.05064,,31564.25700833066,31735.161983615715,56.53898102947613
123,2101.0,31810.14,199.79684,,31573.899478592204,31742.302747080885,59.70219309735844
124,1995.0,31842.42,151.40562,,31584.429695118,31751.83772354937,61.86831265980446
125,1728.0,31745.73,111.07816,,31590.755197270235,31751.256035592287,52.72595539759807
126,1986.0,31827.87,176.77443,,31600.053816985128,31758.552603631117,58.35586685724737
127,2019.0,31840.0,193.22537,,31609.463471221006,31766.30949852339,59.12992752069914
128,1732.0,31813.75,110.75809,,31617.474707643712,31770.827641521162,56.67485253935824
129,1828.0,31819.72,132.52535,,31625.405895579253,31775.484056614387,57.11099969460135
130,1654.0,31873.32,135.05723,,31635.128017321244,31784.801765508255,60.91530101559917
131,1516.0,31902.55,94.99739,,31645.61515389688,31796.015883078897,62.85052134256275
132,1616.0,31918.15,109.84019,,31656.30279492053,31807.64770373805,63.87846729741027
133,1848.0,31909.99,139.37814,,31666.251312766784,31817.39458909633,62.89806329526848
134,1953.0,31945.02,152.20475,,31677.183418148477,31829.549390134773,65.35622505813934
135,1485.0,31957.06,113.21174,,31688.15897037795,31841.693257740986,66.18548013097717
136,1870.0,31936.7,142.11707,,31697.905677421953,31850.74151890851,63.42088708808116
